Interval=	0,005 s
ExcelDateTime=	4,2821680721150136e+04	03/27/17 16:20:14,307372
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	LV Pressure	Aortic Pressure	Aortic Flow	LVAD Flow
37,665	2,630154	103,9937	4,162174	3,86367
37,67	2,47272	104,3065	3,96952	3,884543
37,675	2,551437	104,6976	4,090821	3,902961
37,68	2,551437	105,0104	3,962385	3,916467
37,685	2,47272	104,7758	4,055144	3,931201
37,69	2,551437	104,854	3,86249	3,941024
37,695	2,708871	104,9322	3,891031	3,958214
37,7	2,945022	104,9322	3,87676	3,961897
37,705	2,945022	104,9322	3,848219	3,966809
37,71	3,023739	104,7758	3,805407	3,981543
37,715	3,102455	104,6194	3,912437	3,987682
37,72	3,023739	104,3847	3,891031	3,987682
37,725	3,102455	103,9937	3,955249	3,987682
37,73	3,259889	103,6809	3,962385	3,987682
37,735	3,102455	103,2117	4,048009	3,990138
37,74	3,023739	102,6643	3,998061	3,990138
37,745	2,945022	102,2733	4,133633	3,999961
37,75	2,551437	102,4297	4,105091	4,020834
37,755	2,079135	102,5079	4,190716	4,038024
37,76	1,764267	102,4297	4,162174	4,056442
37,765	1,921701	102,3515	4,304881	4,080999
37,77	2,000418	102,1169	4,340558	4,098188
37,775	2,157852	101,8823	4,340558	4,105555
37,78	2,315286	101,5694	4,447588	4,111695
37,785	2,551437	101,4912	4,426182	4,119062
37,79	2,787588	101,4912	4,497535	4,136252
37,795	2,945022	101,804	4,419047	4,147302
37,8	2,945022	101,804	4,526077	4,164492
37,805	3,023739	101,5694	4,340558	4,177998
37,81	2,945022	101,4912	4,447588	4,181682
37,815	3,023739	101,2566	4,312016	4,180454
37,82	2,787588	100,7874	4,447588	4,184138
37,825	2,708871	100,3182	4,333422	4,176771
37,83	2,630154	100,0054	4,447588	4,174315
37,835	2,630154	99,69257	4,361964	4,168176
37,84	2,630154	99,61437	4,404776	4,18291
37,845	2,630154	100,0054	4,404776	4,198872
37,85	2,787588	100,3964	4,511806	4,222201
37,855	2,945022	100,631	4,4904	4,243074
37,86	3,023739	100,631	4,661648	4,265175
37,865	3,102455	100,5528	4,526077	4,270087
37,87	3,259889	100,3964	4,625972	4,284821
37,875	3,181172	100,1618	4,511806	4,289732
37,88	3,102455	99,92718	4,59743	4,302011
37,885	2,787588	99,77077	4,390505	4,309378
37,89	2,787588	99,84897	4,590295	4,310606
37,895	2,236569	99,84897	4,419047	4,313061
37,9	1,528116	99,84897	4,618836	4,311834
37,905	0,2686452	99,37976	4,419047	4,295872
37,91	-1,699279	98,67593	4,661648	4,284821
37,915	-3,588485	98,36312	4,411911	4,271315
37,92	-5,241541	98,44132	4,540348	4,256581
37,925	-6,501013	98,44132	4,404776	4,247986
37,93	-7,681767	98,12851	4,533212	4,240619
37,935	-8,075352	98,20671	4,397641	4,240619
37,94	-7,681767	98,05031	4,483265	4,238163
37,945	-7,052031	97,7375	4,454723	4,225884
37,95	-6,107428	97,42468	4,454723	4,217289
37,955	-5,084107	97,26828	4,447588	4,21115
37,96	-3,824636	96,87726	4,440453	4,202555
37,965	-2,250297	97,11187	4,504671	4,198872
37,97	-0,990826	97,42468	4,483265	4,195188
37,975	-0,04622259	97,50289	4,4904	4,198872
37,98	0,583513	97,65929	4,483265	4,203783
37,985	1,291966	97,8157	4,426182	4,217289
37,99	1,528116	98,12851	4,497535	4,241846
37,995	1,606833	98,28492	4,4904	4,270087
38	1,291966	98,51953	4,540348	4,292188
38,005	0,9770978	99,06695	4,518941	4,314289
38,01	0,583513	99,30155	4,561754	4,337618
38,015	-0,04622259	99,30155	4,590295	4,364631
38,02	-0,4398074	99,37976	4,568889	4,380593
38,025	-0,990826	99,37976	4,59743	4,401466
38,03	-1,463128	99,45796	4,59743	4,423568
38,035	-1,777996	99,45796	4,70446	4,443213
38,04	-2,17158	99,61437	4,654513	4,45058
38,045	-2,329014	99,53616	4,790085	4,466542
38,05	-2,17158	99,22335	4,70446	4,472682
38,055	-2,014146	99,06695	4,847167	4,470226
38,06	-2,092863	98,44132	4,69019	4,461631
38,065	-1,384411	98,05031	4,882844	4,465314
38,07	0,9770978	97,9721	4,718731	4,466542
38,075	6,172417	98,12851	4,847167	4,476365
38,08	13,09951	98,59773	4,747273	4,498466
38,085	21,04992	99,22335	4,975604	4,543897
38,09	28,13445	99,69257	4,825761	4,596694
38,095	34,9041	100,3964	4,939927	4,665453
38,1	42,3035	101,2566	4,90425	4,744036
38,105	49,62417	102,4297	4,99701	4,841035
38,11	56,15768	103,6027	4,99701	4,950314
38,115	61,19557	104,6976	5,203935	5,082921
38,12	65,44628	105,8706	5,189664	5,225351
38,125	69,38213	107,5129	5,396589	5,384971
38,13	72,45209	109,2333	5,382318	5,548275
38,135	74,42001	110,4064	5,696273	5,718945
38,14	75,91564	111,5012	5,653461	5,884705
38,145	77,09639	112,2832	5,981687	6,04678
38,15	77,96228	113,0653	5,967417	6,202717
38,155	78,35586	114,0037	6,317049	6,353742
38,16	78,74945	114,2383	6,259966	6,502311
38,165	78,67073	114,7075	6,65241	6,644741
38,17	78,35586	114,9421	6,645274	6,776121
38,175	78,11971	115,1767	6,916418	6,901361
38,18	77,88356	115,4114	7,023448	7,019235
38,185	77,41126	114,9421	7,28032	7,126057
38,19	76,86024	114,3947	7,294591	7,214462
38,195	75,91564	113,6127	7,487245	7,294272
38,2	75,2859	112,9089	7,58714	7,369171
38,205	74,10515	112,3614	7,644223	7,429335
38,21	73,23926	111,814	7,722712	7,487044
38,215	71,90107	110,7192	7,844012	7,542297
38,22	70,72032	110,0154	7,986719	7,587727
38,225	69,53956	109,2333	7,993855	7,619651
38,23	68,20137	108,4513	8,100885	7,654031
38,235	66,86319	107,9039	8,129426	7,67736
38,24	65,525	107,2783	8,086614	7,693322
38,245	63,71451	106,5744	8,10802	7,693322
38,25	61,74658	105,3232	8,09375	7,688411
38,255	59,93609	104,1501	8,115156	7,674904
38,26	58,67662	103,9155	8,086614	7,64912
38,265	56,94485	103,6027	8,086614	7,620879
38,27	54,97693	102,9771	8,015261	7,59755
38,275	52,85157	102,6643	7,929637	7,559487
38,28	50,88365	102,8207	7,89396	7,528791
38,285	49,07316	103,0553	7,69417	7,493183
38,29	46,9478	103,1335	7,736982	7,456348
38,295	44,97987	102,8207	7,601411	7,417057
38,3	43,01195	102,5079	7,736982	7,366715
38,305	41,12274	102,9771	7,501516	7,305323
38,31	39,46969	102,9771	7,637087	7,252525
38,315	37,97406	103,2899	7,365944	7,182538
38,32	36,16358	103,8373	7,48011	7,11869
38,325	34,4318	104,1501	7,273185	7,049931
38,33	32,5426	103,9155	7,358809	6,981171
38,335	30,81082	104,2283	7,08053	6,902589
38,34	28,8429	104,3065	7,180425	6,827691
38,345	26,56011	104,1501	6,9735	6,742969
38,35	24,35603	103,9937	6,994906	6,661931
38,355	22,30939	104,0719	6,738034	6,56002
38,36	20,57762	104,3065	6,780846	6,470387
38,365	18,76713	104,3847	6,573921	6,375843
38,37	15,69717	104,3065	6,573921	6,280071
38,375	10,65928	103,6809	6,402673	6,175704
38,38	4,676794	103,8373	6,431214	6,075021
38,385	-0,3610904	103,6809	6,1458	5,957148
38,39	-4,926674	103,4463	6,188612	5,836819
38,395	-8,075352	102,7425	5,938875	5,705439
38,4	-10,43686	102,1951	5,995958	5,566692
38,405	-10,90916	101,5694	5,682003	5,423034
38,41	-10,51558	100,9438	5,746221	5,275693
38,415	-9,649691	100,7092	5,417995	5,134491
38,42	-9,019955	100,631	5,346642	5,003111
38,425	-8,154069	100,24	5,068363	4,880326
38,43	-6,973314	100,5528	5,061228	4,766137
38,435	-5,477692	101,022	4,782949	4,656858
38,44	-3,98207	101,4912	4,818626	4,561086
38,445	-2,880033	101,9605	4,711596	4,464087
38,45	-1,777996	102,0387	4,654513	4,369542
38,455	-0,5185243	102,4297	4,518941	4,288505
38,46	0,5047961	103,1335	4,354829	4,218517
38,465	1,291966	104,1501	4,326287	4,159581
38,47	1,764267	105,245	4,212122	4,11415
38,475	2,157852	106,418	4,204986	4,08591
38,48	2,394003	107,3565	4,16931	4,065037
38,485	2,47272	107,9039	4,190716	4,050302
38,49	3,102455	108,9987	4,140768	4,031885
38,495	3,338606	109,3897	4,112227	4,019606
38,5	3,574757	109,8589	4,105091	4,007328
38,505	3,49604	110,0936	4,07655	3,993821
38,51	4,047059	110,7192	4,07655	3,982771
38,515	4,047059	111,032	4,133633	3,974176
38,52	3,968342	111,1102	4,105091	3,95453
38,525	3,889625	110,8756	4,07655	3,934885
38,53	3,49604	110,7192	4,055144	3,910328
38,535	3,417323	110,0154	4,112227	3,885771
38,54	3,417323	109,3897	4,012332	3,850163
38,545	3,259889	108,8423	4,126497	3,818239
38,55	3,259889	108,2949	4,005197	3,796138
38,555	2,945022	108,2167	4,119362	3,787543
38,56	2,787588	108,2167	3,955249	3,781404
38,565	2,708871	108,1385	4,16931	3,789999
38,57	2,708871	108,0603	3,976655	3,797366
38,575	2,551437	107,6693	4,097956	3,803505
38,58	2,47272	106,9654	3,962385	3,798594
38,585	2,708871	106,4962	4,16931	3,802277
38,59	2,708871	106,027	3,976655	3,803505
38,595	2,630154	105,8706	4,105091	3,808417
38,6	3,023739	105,7924	3,998061	3,807189
38,605	3,49604	105,9488	4,026603	3,813328
38,61	3,732191	105,7924	3,855354	3,819467
38,615	3,810908	105,245	3,998061	3,826834
38,62	3,732191	104,6976	3,919572	3,825607
38,625	3,732191	104,0719	3,998061	3,831746
38,63	3,338606	103,9937	3,948114	3,831746
38,635	2,945022	103,7591	4,097956	3,832974
38,64	2,787588	103,5245	3,898166	3,832974
38,645	2,630154	103,8373	3,990926	3,842796
38,65	2,551437	104,1501	3,891031	3,855075
38,655	2,945022	104,5411	4,055144	3,867353
38,66	2,630154	104,6194	3,905302	3,879632
38,665	2,630154	104,5411	4,147904	3,898049
38,67	2,708871	104,9322	4,019467	3,9091
38,675	2,945022	104,7758	4,147904	3,920151
38,68	3,023739	104,4629	4,048009	3,936113
38,685	3,023739	104,2283	4,147904	3,948391
38,69	3,023739	104,0719	4,048009	3,961897
38,695	3,102455	103,9937	4,16931	3,976632
38,7	3,102455	104,0719	4,226392	4,004872
38,705	3,259889	104,2283	4,254934	4,019606
38,71	3,181172	104,1501	4,319152	4,036796
38,715	3,023739	103,9937	4,304881	4,047847
38,72	3,023739	103,4463	4,333422	4,058897
38,725	2,866305	103,0553	4,262069	4,061353
38,73	2,551437	102,5861	4,347693	4,060125
38,735	2,157852	102,5079	4,269204	4,060125
38,74	1,921701	102,3515	4,312016	4,066264
38,745	2,000418	102,2733	4,312016	4,071176
38,75	1,921701	102,0387	4,340558	4,083454
38,755	2,315286	101,9605	4,340558	4,095733
38,76	2,551437	101,8823	4,354829	4,119062
38,765	2,630154	101,9605	4,361964	4,132568
38,77	2,945022	101,9605	4,397641	4,149758
38,775	2,945022	101,804	4,38337	4,163264
38,78	3,102455	101,6476	4,433317	4,169403
38,785	3,102455	101,1002	4,333422	4,16572
38,79	3,102455	100,5528	4,361964	4,164492
38,795	3,023739	100,1618	4,283475	4,158353
38,8	2,866305	99,84897	4,447588	4,163264
38,805	2,787588	100,0054	4,254934	4,166948
38,81	2,787588	100,0054	4,497535	4,179226
38,815	2,630154	100,0836	4,29061	4,190277
38,82	2,708871	100,0054	4,476129	4,198872
38,825	2,630154	99,84897	4,304881	4,197644
38,83	2,630154	99,53616	4,497535	4,21115
38,835	2,708871	99,30155	4,27634	4,212378
38,84	2,866305	99,45796	4,497535	4,224657
38,845	2,866305	99,61437	4,404776	4,229568
38,85	3,102455	99,92718	4,540348	4,250441
38,855	3,181172	100,1618	4,426182	4,27377
38,86	3,023739	100,0836	4,533212	4,293416
38,865	3,102455	100,0054	4,390505	4,298327
38,87	2,787588	99,84897	4,433317	4,300783
38,875	2,394003	99,45796	4,361964	4,284821
38,88	1,921701	99,14515	4,454723	4,276226
38,885	0,583513	98,91054	4,333422	4,261492
38,89	-1,226977	98,67593	4,411911	4,251669
38,895	-3,273618	98,67593	4,38337	4,244302
38,9	-5,162824	98,91054	4,426182	4,239391
38,905	-6,264862	98,98874	4,340558	4,234479
38,91	-7,445616	98,59773	4,504671	4,230796
38,915	-7,839201	98,28492	4,419047	4,214834
38,92	-7,60305	97,7375	4,483265	4,201327
38,925	-6,973314	97,42468	4,411911	4,181682
38,93	-6,028711	96,79906	4,4904	4,164492
38,935	-5,084107	96,64266	4,38337	4,162036
38,94	-4,060787	96,64266	4,397641	4,164492
38,945	-2,407731	97,19008	4,397641	4,176771
38,95	-1,069543	97,8939	4,38337	4,186593
38,955	-0,1249395	98,28492	4,404776	4,192733
38,96	0,66223	98,28492	4,312016	4,197644
38,965	1,449399	98,05031	4,454723	4,21115
38,97	1,68555	97,8939	4,29061	4,218517
38,975	1,764267	97,8157	4,390505	4,235707
38,98	1,449399	97,9721	4,340558	4,260264
38,985	1,055815	98,36312	4,497535	4,286049
38,99	0,583513	98,98874	4,419047	4,310606
38,995	0,1112113	99,30155	4,554618	4,343758
39	-0,5185243	99,30155	4,554618	4,364631
39,005	-0,9121091	99,37976	4,58316	4,384277
39,01	-1,226977	98,98874	4,547483	4,391644
39,015	-1,777996	98,83234	4,661648	4,407606
39,02	-2,092863	98,28492	4,633107	4,417428
39,025	-2,250297	98,44132	4,640242	4,428479
39,03	-2,250297	98,36312	4,625972	4,437074
39,035	-2,17158	98,44132	4,718731	4,451808
39,04	-2,092863	98,36312	4,59743	4,45672
39,045	-1,463128	98,20671	4,675919	4,45672
39,05	0,583513	98,12851	4,533212	4,446897
39,055	5,385247	97,7375	4,675919	4,449352
39,06	12,62721	97,7375	4,461859	4,454264
39,065	20,65634	98,05031	4,768679	4,473909
39,07	27,74086	98,51953	4,604566	4,5132
39,075	34,4318	99,53616	4,818626	4,586871
39,08	41,67376	101,2566	4,70446	4,674048
39,085	48,99444	102,5861	5,018416	4,783327
39,09	55,60666	104,0719	4,875709	4,904883
39,095	60,72326	105,0104	5,161123	5,036263
39,1	65,13141	106,1052	5,196799	5,173782
39,105	69,14598	107,5129	5,42513	5,321123
39,11	72,45209	108,8423	5,460807	5,478288
39,115	74,57745	110,0154	5,674867	5,640363
39,12	75,83692	110,9538	5,739086	5,798755
39,125	77,09639	111,8922	5,93174	5,96697
39,13	77,88356	112,8307	6,102988	6,137641
39,135	78,67073	114,0819	6,338455	6,309539
39,14	78,9856	114,7075	6,445485	6,469159
39,145	78,82816	115,0985	6,66668	6,620185
39,15	78,51329	115,3332	6,802252	6,761387
39,155	78,51329	115,3332	6,980636	6,882944
39,16	77,96228	115,0203	7,002042	6,987311
39,165	77,72613	114,7857	7,258914	7,09045
39,17	77,25382	114,3947	7,301726	7,184994
39,175	76,38794	113,3781	7,465839	7,263576
39,18	75,60077	112,8307	7,551463	7,339702
39,185	74,3413	112,205	7,729847	7,413373
39,19	73,55413	112,1268	7,736982	7,482133
39,195	72,21594	110,7974	7,822606	7,533702
39,2	71,03518	110,0936	7,908231	7,574221
39,205	69,85443	109,0769	7,915366	7,602462
39,21	68,51624	108,0603	8,036667	7,629474
39,215	67,17805	107,4347	8,022396	7,644208
39,22	65,83987	106,8872	8,143697	7,661398
39,225	64,34424	106,1834	8,043802	7,665082
39,23	62,21889	105,245	8,143697	7,669993
39,235	60,17225	104,3065	7,958178	7,658942
39,24	58,91277	103,9937	8,036667	7,656487
39,245	57,41715	103,7591	7,965313	7,650348
39,25	55,44923	103,3681	8,058073	7,650348
39,255	53,32387	103,1335	7,943907	7,639297
39,26	51,27723	103,1335	7,979584	7,619651
39,265	49,38802	103,2117	7,822606	7,595094
39,27	47,49882	103,2899	7,794065	7,56317
39,275	45,21602	102,9771	7,69417	7,521424
39,28	43,2481	102,8207	7,69417	7,482133
39,285	41,28018	103,1335	7,558599	7,423196
39,29	39,46969	103,4463	7,580005	7,363032
39,295	37,73791	103,6809	7,415892	7,300411
39,3	36,08486	103,9155	7,494381	7,236563
39,305	34,27437	104,3065	7,223237	7,157981
39,31	32,38516	104,3065	7,37308	7,079399
39,315	30,73211	104,1501	7,059124	6,987311
39,32	28,76418	104,3065	7,187561	6,903817
39,325	26,71754	104,4629	6,937824	6,812956
39,33	24,35603	104,3065	7,016312	6,727007
39,335	22,15196	104,3847	6,702357	6,63983
39,34	20,26275	104,854	6,802252	6,547742
39,345	18,76713	104,9322	6,566786	6,44583
39,35	15,61845	104,6194	6,573921	6,347603
39,355	10,89543	103,6809	6,352725	6,243236
39,36	5,070379	103,2117	6,302778	6,131502
39,365	-0,2823734	103,1335	6,13153	6,008717
39,37	-4,76924	102,7425	5,967417	5,878565
39,375	-7,917918	102,5079	5,846116	5,758237
39,38	-10,27943	102,1169	5,710544	5,629313
39,385	-10,90916	102,1169	5,589243	5,495477
39,39	-10,59429	101,5694	5,503619	5,361642
39,395	-9,885842	101,4912	5,396589	5,226579
39,4	-9,177389	100,8656	5,261017	5,091516
39,405	-8,075352	100,3964	5,132581	4,961364
39,41	-7,052031	100,24	5,01128	4,837352
39,415	-5,713843	100,5528	4,875709	4,725618
39,42	-4,296938	100,8656	4,761543	4,615112
39,425	-3,037467	101,4912	4,604566	4,521795
39,43	-1,699279	102,0387	4,561754	4,443213
39,435	-0,9121091	102,5861	4,454723	4,374454
39,44	0,2686452	103,4463	4,376235	4,306922
39,445	1,134532	104,3847	4,304881	4,254125
39,45	1,764267	105,245	4,197851	4,208695
39,455	2,315286	106,1834	4,219257	4,170631
39,46	2,551437	107,0436	4,07655	4,135024
39,465	2,551437	107,6693	4,219257	4,119062
39,47	2,945022	108,7641	4,07655	4,105555
39,475	3,259889	109,8589	4,18358	4,090821
39,48	3,49604	110,5628	4,026603	4,078543
39,485	3,732191	110,9538	4,219257	4,074859
39,49	3,889625	111,5794	4,033738	4,057669
39,495	4,047059	111,5794	4,18358	4,03434
39,5	3,968342	111,423	4,033738	4,001189
39,505	3,732191	111,1102	4,133633	3,975404
39,51	3,417323	110,7974	3,962385	3,944708
39,515	3,259889	110,25	4,126497	3,916467
39,52	3,338606	110,0936	3,962385	3,889455
39,525	3,259889	109,6243	4,005197	3,872265
39,53	3,181172	109,2333	3,948114	3,847708
39,535	2,945022	108,7641	4,048009	3,832974
39,54	2,787588	108,2949	3,898166	3,819467
39,545	2,708871	107,6693	4,005197	3,810872
39,55	2,630154	107,4347	3,891031	3,804733
39,555	2,551437	107,0436	3,998061	3,804733
39,56	2,47272	106,7308	3,75546	3,808417
39,565	2,630154	106,8872	4,040873	3,824379
39,57	2,708871	106,418	3,848219	3,828062
39,575	2,551437	106,418	4,019467	3,835429
39,58	2,945022	106,1834	3,933843	3,836657
39,585	3,574757	105,9488	4,126497	3,828062
39,59	3,810908	105,245	3,855354	3,815784
39,595	3,732191	104,6194	3,998061	3,809645
39,6	3,810908	103,9937	3,87676	3,807189
39,605	3,732191	103,8373	3,926708	3,807189
39,61	3,417323	104,2283	3,819678	3,804733
39,615	2,945022	104,3065	3,919572	3,814556
39,62	2,708871	104,2283	3,940978	3,832974
39,625	2,630154	104,6194	3,898166	3,847708
39,63	2,630154	104,6976	3,948114	3,867353
39,635	2,787588	104,9322	3,919572	3,888227
39,64	2,708871	104,9322	3,919572	3,902961
39,645	2,787588	104,9322	3,912437	3,912784
39,65	2,787588	105,0104	3,948114	3,921379
39,655	2,945022	104,854	3,955249	3,936113
39,66	3,023739	104,9322	3,962385	3,947163
39,665	2,945022	104,6976	4,040873	3,95453
39,67	3,102455	104,7758	4,062279	3,970492
39,675	2,945022	104,6976	4,090821	3,980315
39,68	3,102455	104,6976	4,140768	3,990138
39,685	3,259889	104,5411	4,162174	3,993821
39,69	3,102455	104,1501	4,204986	3,996277
39,695	3,181172	103,6027	4,240663	3,997505
39,7	3,023739	102,8989	4,340558	4,001189
39,705	2,945022	102,7425	4,262069	4,004872
39,71	2,394003	102,5861	4,426182	4,026973
39,715	2,157852	102,7425	4,319152	4,045391
39,72	1,842984	102,9771	4,433317	4,069948
39,725	2,157852	102,9771	4,319152	4,092049
39,73	2,000418	102,8207	4,504671	4,117834
39,735	2,315286	102,5861	4,254934	4,121517
39,74	2,708871	102,2733	4,476129	4,130112
39,745	2,708871	101,7258	4,326287	4,130112
39,75	3,102455	101,5694	4,497535	4,137479
39,755	3,181172	101,4912	4,304881	4,135024
39,76	3,102455	101,413	4,390505	4,154669
39,765	3,259889	101,413	4,219257	4,169403
39,77	3,181172	101,1784	4,240663	4,185365
39,775	3,023739	101,2566	4,097956	4,192733
39,78	2,945022	101,022	4,190716	4,202555
39,785	2,630154	100,631	4,083685	4,206239
39,79	2,551437	100,3182	4,219257	4,212378
39,795	2,47272	100,0836	4,16931	4,217289
39,8	2,551437	100,0054	4,27634	4,222201
39,805	2,47272	100,0054	4,219257	4,233251
39,81	2,394003	100,0054	4,354829	4,247986
39,815	2,630154	99,92718	4,226392	4,254125
39,82	2,47272	99,77077	4,376235	4,265175
39,825	2,787588	99,92718	4,226392	4,267631
39,83	2,945022	99,77077	4,38337	4,265175
39,835	3,023739	99,53616	4,247798	4,255353
39,84	2,945022	99,22335	4,426182	4,259036
39,845	2,945022	99,30155	4,361964	4,256581
39,85	2,708871	99,37976	4,440453	4,255353
39,855	2,394003	99,53616	4,38337	4,259036
39,86	1,842984	99,69257	4,440453	4,266403
39,865	0,7409469	99,53616	4,454723	4,270087
39,87	-1,069543	99,14515	4,440453	4,268859
39,875	-3,194901	98,67593	4,461859	4,260264
39,88	-4,76924	98,36312	4,404776	4,249213
39,885	-6,264862	98,20671	4,461859	4,227112
39,89	-7,60305	97,8157	4,397641	4,206239
39,895	-8,075352	97,65929	4,504671	4,197644
39,9	-7,839201	97,7375	4,411911	4,184138
39,905	-7,288182	97,50289	4,454723	4,169403
39,91	-6,264862	97,58109	4,397641	4,157125
39,915	-5,398975	97,19008	4,483265	4,14853
39,92	-3,98207	97,03367	4,369099	4,141163
39,925	-2,407731	97,11187	4,361964	4,135024
39,93	-0,990826	97,50289	4,369099	4,141163
39,935	-0,3610904	97,8157	4,404776	4,162036
39,94	0,66223	98,05031	4,354829	4,177998
39,945	1,134532	98,36312	4,38337	4,198872
39,95	1,606833	98,51953	4,333422	4,22834
39,955	1,449399	98,75413	4,390505	4,260264
39,96	1,213249	99,06695	4,269204	4,284821
39,965	0,9770978	99,06695	4,483265	4,311834
39,97	0,4260791	99,06695	4,347693	4,324112
39,975	0,1112113	99,14515	4,533212	4,344985
39,98	-0,5185243	99,14515	4,454723	4,35358
39,985	-0,990826	99,37976	4,69019	4,369542
39,99	-1,305694	99,37976	4,461859	4,385504
39,995	-1,777996	99,37976	4,654513	4,403922
40	-2,014146	99,22335	4,497535	4,417428
40,005	-2,17158	99,22335	4,661648	4,43339
40,01	-2,250297	98,91054	4,447588	4,43953
40,015	-2,17158	98,75413	4,683054	4,443213
40,02	-2,014146	98,28492	4,561754	4,43339
40,025	-1,777996	97,8157	4,611701	4,430935
40,03	0,2686452	97,58109	4,561754	4,428479
40,035	4,676794	97,7375	4,683054	4,434618
40,04	11,84004	98,12851	4,540348	4,453036
40,045	19,71173	98,75413	4,661648	4,499694
40,05	27,18984	99,06695	4,633107	4,557403
40,055	33,56592	100,24	4,811491	4,631074
40,06	40,88659	101,3348	4,775814	4,714567
40,065	48,3647	102,6643	5,004145	4,815251
40,07	54,97693	103,6809	4,932792	4,926985
40,075	60,25096	104,6194	5,153987	5,044858
40,08	64,50168	105,5578	5,168258	5,178693
40,085	68,67368	107,2	5,368048	5,32849
40,09	72,0585	108,8423	5,3181	5,481971
40,095	74,18386	110,25	5,567837	5,646503
40,1	75,60077	111,3448	5,653461	5,815945
40,105	76,86024	112,205	5,846116	5,981705
40,11	77,88356	113,1435	6,003093	6,141325
40,115	78,19843	114,0819	6,245695	6,298489
40,12	78,51329	114,6293	6,431214	6,459337
40,125	78,67073	115,0203	6,54538	6,602995
40,13	78,51329	115,1767	6,816523	6,735602
40,135	78,27714	115,1767	6,86647	6,863298
40,14	77,80484	115,1767	7,094801	6,987311
40,145	77,41126	115,1767	7,194696	7,097817
40,15	76,93896	114,6293	7,437298	7,205867
40,155	76,2305	114,0037	7,444433	7,2955
40,16	75,20718	113,0653	7,644223	7,378994
40,165	74,3413	112,4396	7,637087	7,440386
40,17	73,47541	111,9704	7,744118	7,491955
40,175	72,29466	110,5628	7,729847	7,533702
40,18	70,87775	109,6243	7,836877	7,56931
40,185	69,53956	108,5295	7,851148	7,588955
40,19	68,51624	107,8257	7,915366	7,608601
40,195	67,02062	107,3565	7,922501	7,623335
40,2	65,68243	106,5744	8,043802	7,634386
40,205	64,34424	105,7924	7,951043	7,629474
40,21	62,37632	104,9322	8,09375	7,625791
40,215	60,32968	103,9155	7,951043	7,617196
40,22	58,67662	103,6027	8,100885	7,611056
40,225	57,41715	103,6027	7,951043	7,593867
40,23	55,37051	103,2117	8,09375	7,585272
40,235	53,16644	102,9771	7,822606	7,572993
40,24	51,27723	103,2899	8,015261	7,558259
